5|Ideas abstractas y conceptos
#52A5|Knowledge; 'Cognitione', 'Cognitione delle cose' (Ripa)
#52A51|Wisdom; 'Sapienza', 'Sapienza humana', 'Sapienza vera' (Ripa)
#52A511|Wisdom of the Fool
#52A52|Judgement, Discrimination; 'Giuditio' (Ripa)
#52A53|Self-knowledge
#52A54|Docility; 'Docilità' (Ripa)
#52A55|Subtlety, Acumen, Lucidity, Wit; 'Acutezza de l'Ingegno', 'Sottilità' (Ripa)
#52A6|Truth; 'Verità' (Ripa)
#52A7|Omniscience
#52AA|Intelligence and Intellectual Faculties (opposing concepts)
#52AA1|Stupidity, Poverty of Intellect; 'Stupidità overo Stolidità' (Ripa)
#52AA11|Lack of Talent
#52AA2|Absent-mindedness
#52AA21|Rashness, Imprudence, Recklessness
#52AA22|Tactlessness; 'Inconsideratione' (Ripa)
#52AA23|Inattention
#52AA24|Carelessness
#52AA3|Forgetfulness
#52AA31|Oblivion; 'Oblivione' (Ripa)
#52AA4|Lack of Imagination, Inflexibility
#52AA5|Ignorance; 'Ignoranza', 'Ignoranza di tutte le cose', 'Ignoranza in un ricco senza lettere' (Ripa)
#52AA51|Folly, Foolishness; 'Pazzia', 'Sciocchezza', 'Stoltitia' (Ripa)
#52AA511|Ridiculousness
#52AA52|Misjudgment
#52AA521|Illusion, Phantasm
#52AA522|Delusion, Fallacy; 'Prima Impressione' (Ripa)
#52AA53|Lack of Self-knowledge
#52AA54|Indocility; 'Indocilità' (Ripa)
#52AA55|Bluntness, Obtuseness, Dullness
#52AA551|Shallowness of Mind
#52AA552|Intellectual Blindness; 'Cecità della Mente' (Ripa)
#52AA553|Prejudice, Bias
#52AA6|Falsehood
#52B|Reasoning
#52B1|Thinking, Thought, Reflection; 'Pensiero' (Ripa)
#52B11|Contemplation
#52B12|Brooding
#52B13|Fixation
#52B2|Admission, Belief
#52B21|Credulity
#52B3|Expectation
#52B31|Probability
#52B4|Verification
#52B41|Certainty
#52B42|Possibility
#52B5|Rationality, Reasoning; 'Ratiocinatione o Discorso' (Ripa)
#52B51|Reason; 'Ragione' (Ripa)
#52B511|Distinction between Good and Bad; 'Distintione del bene & del male' (Ripa)
#52B5111|Good, Right
#52B5112|Bad, Evil, Wrong
#52B512|Banishing Evil Thoughts; 'Repulsa de pensieri cattivi' (Ripa)
#52B513|Reason versus Amorous Lust; 'Combattimento della ragione con l'appetito' (Ripa)
#52B52|Syllogism, Demonstration
#52B53|Proof
#52BB|Reasoning (opposing concepts)
#52BB1|Thoughtlessness
#52BB2|Doubt; 'Dubbio' (Ripa)
#52BB21|Incredulity
#52BB3|Surprise, Wonder; 'Maraviglia' (Ripa)
#52BB31|Improbability
#52BB4|Presumption
#52BB41|Uncertainty
#52BB42|Impossibility
#52BB5|Irrationality
#52BB51|Intuition
#52BB52|Sophism
#52BB53|Nonsense, Absurdity
#52BB54|Baseless Speculation
#52BB6|Frenzy
#52BB61|Infatuation
#52C|Understanding and Misunderstanding
#52C1|Consideration; 'Consideratione' (Ripa)
#52C11|Opinion
#52C111|Public Opinion; 'Opinione' (Ripa)
#52C12|Sentence, 'Sententia'
#52C2|Affirmation, Confirmation; 'Confermatione' (Ripa)
#52C3|Acknowledgement, Granting
#52C4|Understanding, Comprehension; 'Apprehensiva' (Ripa)
#52C41|Freeing (oneself) from Error or Illusion
#52C42|Interpretation
#52C5|Theory; 'Theoria' (Ripa)
#52C51|Doctrine
#52C52|Ideology
#52CC|Understanding and Misunderstanding (opposing concepts)
#52CC1|Inconsideration
#52CC2|Denial, Negation
#52CC3|Dissidence
#52CC31|Refutation, Confutation, Disproving
#52CC4|Misunderstanding, Incomprehension
#52CC41|Error; 'Errore' (Ripa)
#52D|Communication of Thought (qualitative aspects)
#52D1|Communication of Thought
#52D2|Clarity, Precision
#52D21|Conciseness
#52D3|Eloquence; 'Eloquenza', 'Fermezza & Gravità dell'Oratione' (Ripa)
#52D31|Power of Eloquence; 'Forza sottoposta all'Eloquenza' (Ripa)
#52D4|Prolixity, Verbosity, Loquacity; 'Loquacità' (Ripa)
#52D41|Trifles, 'Nugae'
#52D5|Rumour; 'Rumore' (Ripa)
#52DD|Communication of Thought (qualitative aspects) (opposing concepts)
#52DD1|Secrecy, Latency, Concealment; 'Secretezza' (Ripa)
#52DD11|Secret
#52DD2|Unclarity, Imprecision
#52DD21|Confusion, Obscurity; 'Confusione' (Ripa)
#52DD22|Mystification
#52DD3|Taciturnity; 'Secretezza', 'Secretezza overo Taciturnità' (Ripa)
#52E|Communication of Thought (answer and question)
#52E1|Response, Answer, Solution
#52E2|Prediction, Prophecy; 'Augurio', 'Divinatione', 'Profetia' (Ripa)
#52E21|Good Omen; 'Augurio buono' (Ripa)
#52E22|Bad Omen; 'Augurio cattivo' (Ripa)
#52E3|Counsel; 'Consiglio' (Ripa)
#52EE|Communication of Thought (answer and question) (opposing concepts)
#52EE1|Asking, Question, Interrogation
#52EE11|Inquiry, Investigation; 'Investigatione' (Ripa)
53|Voluntad
#53A|Characteristics of Will
#53A1|Will; 'Volontà' (Ripa)
#53A11|Choice; 'Elettione' (Ripa)
#53A2|Perseverance, Resolution, Determination; 'Perseveranza' (Ripa)
#53A21|Constancy, Tenacity; 'Costanza', 'Tenacità' (Ripa)
#53A211|Obstinacy; 'Ostinatione', 'Pertinacia' (Ripa)
#53A212|Implacability
#53A22|Stability, Firmness; 'Fermezza', 'Stabilimento', 'Stabilità' (Ripa)
#53AA|Characteristics of Will (opposing concepts)
#53AA1|Will-lessness
#53AA11|Predetermination
#53AA2|Irresolution; 'Irresolutione' (Ripa)
#53AA21|Inconstancy; 'Incostanza', 'Instabilità', 'Instabilità overo Incostanza' (Ripa)
#53AA22|Tergiversation
#53B|Acts of the Will
#53B1|Acceptance
#53B2|Decisiveness, Decision
#53B3|Self-control; 'Dominio di se stesso' (Ripa)
#53B4|Willingness
#53B41|Inclination; 'Inclinatione' (Ripa)
#53B5|Obedience; 'Obedienza' (Ripa)
#53B6|Discipline
#53B7|Observance, Fulfilment
#53BB|Acts of the Will (opposing concepts)
#53BB1|Rejection
#53BB2|Hesitation
#53BB3|Self-indulgence
#53BB4|Unwillingness
#53BB5|Disobedience, Contumacy, Insubordination; 'Inubidienza' (Ripa)
#53BB51|Protest
#53BB6|Indiscipline
#53BB61|Laxity
#53BB7|Non-observance
#53C|Authority and Subordination
#53C1|Predominance
#53C11|Authority, Power; 'Dominio', 'Giurisdittione' (Ripa)
#53C12|Severity; 'Severità' (Ripa)
#53C13|Sternness; 'Rigore' (Ripa)
#53C2|Command
#53C21|Compulsion
#53C22|Menace, Intimidation; 'Minaccie' (Ripa)
#53CC|Authority and Subordination (opposing concepts)
#53CC1|Subordination
#53CC11|Service
#53CC12|Servility
#53CC2|Voluntariness
#53CC21|Readiness to Comply
#53CC3|Supplication; 'Supplicatione' (Ripa)
#53CC31|Invocation; 'Invocatione' (Ripa)
#53CC32|Pleading
#53D|Intersocial Volition
#53D1|Offer, Proposition
#53D11|Permission
#53D12|Favour; 'Favore' (Ripa)
#53D2|Promise; 'Promissione' (Ripa)
#53D3|Intercession
#53DD|Intersocial Volition (opposing concepts)
#53DD1|Refusal
#53DD11|Prohibition
#53DD2|Breach of Promise
54|Desarollo de Acción
#54A|State of Being while Doing
#54A1|Activity
#54A11|Industriousness, Assiduity; 'Assiduità', 'Industria', 'Zelo' (Ripa)
#54A2|Carefulness, Diligence; 'Diligenza' (Ripa)
#54A21|Anxiety, Solicitude; 'Sollecitudine' (Ripa)
#54A211|Scrupulosity; 'Scropolo' (Ripa)
#54A3|Competence
#54A31|Experience, Mastery; 'Esperienza' (Ripa)
#54A32|Preparedness
#54A33|Skill, Ability; 'Artificio', 'Prontezza' (Ripa)
#54A4|Calmness, Equanimity, Imperturbability
#54A41|Continence; 'Continenza', 'Continenza militare' (Ripa)
#54A42|Restraint
#54A43|Temperance, Moderation; 'Misura' (Ripa)
#54A431|the Golden Mean; 'Mediocrità' (Ripa)
#54A44|Patience; 'Patienza' (Ripa)
#54A45|Peaceableness
#54A46|Rest; 'Quiete' (Ripa)
#54A47|Peace of Mind, 'Aequitas'
#54A5|Goodness; 'Bontà' (Ripa)
#54A51|Good Genius; 'Genio Buono' (Ripa)
#54A52|Guiltlessness
#54A6|Helpfulness
#54A7|Strength, Power; 'Fortezza', 'Fortezza d'Animo e di corpo', 'Fortezza del corpo congiunta con la generosità dell'animo', 'Fortezza & valore del corpo congiunto con la prudenza & virtù del animo', 'Forza' (Ripa)
#54A71|Invincibility
#54A72|Invulnerability
#54A8|Courage, Bravery, Valiance, Manliness; 'Ardire magnanimo et generoso', 'Gagliardezza', 'Valore', 'Virtù heroica', 'Virtù dell'animo e del corpo' (Ripa)
#54A81|Fearlessness, Intrepidity; 'Intrepidità & Costanza' (Ripa)
#54A82|Audacity, Temerity; 'Audacia' (Ripa)
#54AA|State of Being while Doing (opposing concepts)
#54AA1|Inactivity
#54AA11|Sluggishness, Inertia; 'Dapocaggine', 'Pigritia' (Ripa)
#54AA2|Negligence; 'Negligenza' (Ripa)
#54AA21|Indifference
#54AA3|Incompetence
#54AA31|Inexperience
#54AA32|Unpreparedness
#54AA33|Inability, Maladroitness, Awkwardness
#54AA34|Mediocrity
#54AA4|Vehemence, Violence, Fierceness; 'Sforza con Inganno', 'Violenza' (Ripa)
#54AA41|Impulsion; 'Impeto' (Ripa)
#54AA42|Wildness, Untamedness
#54AA43|Intemperance, Immoderation
#54AA44|Impatience
#54AA45|Pugnacity
#54AA46|Unrest, Restlessness, Inquietude; 'Inquietudine' (Ripa)
#54AA47|Disquietude of Mind; 'Inquietudine d'animo' (Ripa)
#54AA5|Badness
#54AA51|Evil Genius; 'Genio cattivo' (Ripa)
#54AA52|Guiltiness
#54AA6|Obstructiveness
#54AA7|Weakness, Powerlessness, Helplessness; 'Infermità' (Ripa)
#54AA71|Vincibility
#54AA72|Vulnerability
#54AA8|Cowardice
#54B|Means and Characteristics of Means
#54B1|Means
#54B11|Use
#54B12|Opportunity, Opportuneness, Seasonableness
#54B121|'Occasio', 'Kairos'; 'Occasione' (Ripa)
#54B1211|Waiting for an Opportunity
#54B1212|Missing an Opportunity
#54B1213|Seizing an Opportunity
#54B2|Indispensability
#54B3|Utility, Usefulness; 'Utilità' (Ripa)
#54B4|Efficiency
#54B5|Importance, Preponderance
#54B6|Worth, Value
#54BB|Means and Characteristics of Means (opposing concepts)
#54BB1|Disuse
#54BB11|Misuse, Misemployment
#54BB12|Profanation
#54BB13|Intempestivity, Inopportuneness, Unseasonableness
#54BB2|Unnecessity, Superfluity
#54BB3|Inutility, Noxiousness; 'Nocumento', 'Nocumento d'ogni cosa' (Ripa)
#54BB31|Damage, Disservice; 'Danno' (Ripa)
#54BB4|Inefficiency
#54BB5|Unimportance
#54BB6|Worthlessness
#54C|Intention, Purpose, Aim
#54C1|Purposefulness
#54C11|Intention
#54C12|Purpose, Aim
#54C2|Recommendation, Inducement, Incitement
#54C21|Persuasion; 'Persuasione' (Ripa)
#54C22|Appeal
#54C3|Influence
#54C31|Example
#54C4|Temptation; 'Tentatione' (Ripa)
#54CC|Intention, Purpose, Aim (opposing concepts)
#54CC1|Aimlessness
#54CC11|Without Intention, Non-design, Unintendedness, Undeliberateness
#54CC2|Discouragement
#54CC21|Dissuasion
#54CC22|Deterrence
#54D|Procedure
#54D1|Preparation
#54D11|Attempt, Trial
#54D12|Exercise; 'Essercitio' (Ripa)
#54D2|Action; 'Operatione manifesta' (Ripa)
#54D21|Practice; 'Prattica' (Ripa)
#54D3|Completion
#54D31|Continuance
#54D4|Facility
#54D5|Safety
#54D6|Custom, Habit; 'Consuetudine' (Ripa)
#54DD|Procedure (opposing concepts)
#54DD1|Improvisation
#54DD2|Idleness; 'Otio' (Ripa)
#54DD3|Start
#54DD31|Interruption, Cessation
#54DD311|Waiting, Watching
#54DD4|Difficulty
#54DD41|Drudgery; 'Fatica', 'Fatica estiva' (Ripa)
#54DD42|Fatigue, Lassitude; 'Lassitudine o Languidezza estiva' (Ripa)
#54DD5|Insafety
#54DD51|Danger; 'Pericolo' (Ripa)
#54DD52|Risk; 'Ardire ultimo & necessario' (Ripa)
#54DD6|Desuetude
#54E|Reciprocal Action
#54E1|Co-operation, Association
#54E11|Necessity of Mutual Co-operation
#54E2|Guidance
#54E3|Accord, Accordance
#54E31|Agreement, Unity; 'Concordia', 'Concordia insuperabile', 'Concordia militare', 'Concordia di Pace', 'Unione civile' (Ripa)
#54E32|Compliance
#54E4|Defence
#54E41|Self-defence
#54E42|Protection; 'Custodia', 'Difesa contra nimici, malefici & venefici', 'Difesa contra pericoli', 'Riparo da i tradimenti' (Ripa)
#54E43|Preservation, Sustenance; 'Salvezza', 'Sostanza' (Ripa)
#54EE|Reciprocal Action (opposing concepts)
#54EE1|Non co-operation
#54EE11|Opposition, Counteraction, Resistance
#54EE2|Hindrance, Obstruction
#54EE3|Conflict; 'Contrasto' (Ripa)
#54EE31|Disagreement, Discord; 'Discordia' (Ripa)
#54EE32|Defiance
#54EE33|Competition, Rivalry, Emulation; 'Emulatione' (Ripa)
#54EE4|Attack
#54F|Fortune and Misfortune
#54F1|Success; 'Evento buono' (Ripa)
#54F11|Welfare, Prosperity; 'Felicità publica', 'Prosperità della vita', 'Salute' (Ripa)
#54F12|Luck, Fortune, Lot; 'Fato', 'Fortuna', 'Fortuna aurea', 'Fortuna buona', 'Fortuna pacifica overo clemente', 'Sorte' (Ripa)
#54F121|Turn of Fate, Wheel of Fortune
#54F122|Vicissitudes of Life
#54F13|Progress, Improvement, Recovery
#54F131|Renovation
#54F14|Advantage
#54F2|Victory
#54FF|Fortune and Misfortune (opposing concepts)
#54FF1|Failure
#54FF11|Adversity, Misfortune, Bad Luck; 'Fortuna infelice', 'Infortunio' (Ripa)
#54FF12|Fate, Doom
#54FF13|Regression, Deterioration, Relapse
#54FF14|Disadvantage
#54FF15|Submission; 'Forza minore da maggior forza superata' (Ripa)
#54FF2|Defeat
55|Propiedad
#55A|Acquisition and Loss
#55A1|Acquisition, Gain, Profit
#55A11|Retention
#55A12|Reward, 'Praemium'; 'Premio', 'Remuneratione' (Ripa)
#55AA|Acquisition and Loss (opposing concepts)
#55AA1|Loss
#55AA11|Relinquishment, Abandonment of Property
#55B|Possession
#55B1|Wealth, Opulence; 'Opulenza', 'Richezza' (Ripa)
#55B2|Luxury, Luxuriousness
#55B3|'Not too poor, not too rich'
#55BB|Possession (opposing concepts)
#55BB1|Poverty; 'Povertà', 'Povertà del doni', 'Povertà in uno ch'habbia bell'ingegno' (Ripa)
#55BB2|Scarcity; 'Carestia' (Ripa)
#55C|Use of Property
#55C1|Spending
#55C11|Squandering, Extravagance, Prodigality, Waste; 'Prodigalità' (Ripa)
#55C2|Giving
#55C21|Generosity, Liberality; 'Generosità', 'Liberalità' (Ripa)
#55C22|Offering; 'Offerta overo Oblatione' (Ripa)
#55C221|Sacrifice
#55C3|Lending, Letting
#55C4|Taking
#55C5|Sharing
#55CC|Use of Property (opposing concepts)
#55CC1|Saving, Frugality, Parsimony; 'Parsimonia' (Ripa)
#55CC11|Greed, Covetousness, Cupidity; 'Cupidità' (Ripa)
#55CC2|Receiving
#55CC3|Borrowing, Hiring
#55CC4|Restitution; 'Restitutione' (Ripa)
#55CC5|Withholding, Keeping to oneself
56|Emoción
#56A|Feeling
#56A1|Sensation, Sensibility, Sensitivity
#56A2|Excitation
#56A21|Ecstasy, Exaltation
#56AA|Feeling (opposing concepts)
#56AA1|Insensibility, Insensitivity
#56AA11|Impassibility; 'Impassibilità' (Ripa)
#56B|Joy and Sorrow
#56B1|Pleasure, Enjoyment, Joy; 'Allegrezza', 'Allegrezza da le medaglie', 'Allegrezza, letitia e giubilo', 'Diletto', 'Piacere', 'Piacere honesto' (Ripa)
#56B11|Mirth, Hilarity
#56B12|Jovialness
#56B13|Jocularity
#56B131|Joke; 'Giuoco (dall'antico)' (Ripa)
#56B2|Happiness, Felicity
#56B21|Eternal Bliss; 'Felicità eterna' (Ripa)
#56B22|Short Felicity; 'Felicità breve' (Ripa)
#56B3|Satisfaction, Contentment; 'Contento' (Ripa)
#56B4|Amusement
#56B41|Fastidiousness, Epicurism
#56B42|Coarseness, Rusticity
#56BB|Joy and Sorrow (opposing concepts)
#56BB1|Pain, Sorrow, Sadness; 'Dolore', 'Dolore di Zeusi' (Ripa)
#56BB11|Bitterness; 'Amaritudine' (Ripa)
#56BB12|Torment; 'Tribulatione' (Ripa)
#56BB121|Lamentation; 'Querela a Dio' (Ripa)
#56BB13|Heartache, Heart-break; 'Affanno', 'Cordoglio' (Ripa)
#56BB131|Sighs; 'Sospiri' (Ripa)
#56BB19|Consolation
#56BB2|Unhappiness; 'Infelicità' (Ripa)
#56BB21|Calamity, Distress; 'Calamità', 'Calamità o miseria' (Ripa)
#56BB22|Misery; 'Miseria mondana' (Ripa)
#56BB3|Dissatisfaction
#56BB31|Boredom
#56BB32|Insatiableness
#56BB33|Grumbling, Complaint; 'Pianto', 'Querela' (Ripa)
#56BB34|Disappointment
#56BB35|Frustration
#56BB4|Disgust, Dislike, Repulsion, Nausea
#56BB41|Satiety
#56C|Aesthetic Sense
#56C1|Sense of Beauty
#56C2|Admiration
#56C3|Inspiration; 'Ispiratione' (Ripa)
#56CC|Aesthetic Sense (opposing concepts)
#56CC1|Insensibility to Beauty
#56CC2|Depreciation
#56D|Hope and Fear
#56D1|Hope; 'Speranza', 'Speranza delle fatiche' (Ripa)
#56D2|Trust
#56D21|Refuge; 'Refugio' (Ripa)
#56D29|Misplaced Trust, False Confidence, 'Pax Falsa'; 'Speranza fallace' (Ripa)
#56D3|Confidence, Security, Tranquillity; 'Confidenza', 'Sicurezza e Tranquillità', 'Sicurtà', 'Sicurtà o Sicurezza', 'Tranquillità' (Ripa)
#56D31|Self-confidence
#56D32|Commitment
#56DD|Hope and Fear (opposing concepts)
#56DD1|Fear, Dread; 'Paura', 'Timidità o Timore', 'Timore' (Ripa)
#56DD11|Despair; 'Disperatione' (Ripa)
#56DD2|Distrust, Suspicion; 'Sospitione' (Ripa)
#56DD3|Insecurity
#56DD31|Lack of Self-confidence; 'Viltà' (Ripa)
#56DD32|Alarm, Fright; 'Spavento', 'Terrore' (Ripa)
#56DD33|Confusion, Bewilderment, Panic; 'Perturbatione' (Ripa)
#56DD34|Horror, Abhorrence
#56E|Anger and Meekness
#56E1|Irritation
#56E11|Indignation; 'Sdegno' (Ripa)
#56E2|Rage, Anger
#56E21|Irascibility
#56E3|Fury; 'Furore', 'Furore implacabile', 'Furore & Rabbia', 'Furore superbo & Indomito' (Ripa)
#56EE|Anger and Meekness (opposing concepts)
#56EE1|Forbearance
#56EE2|Meekness; 'Mansuetudine' (Ripa)
#56F|Desire and Aversion
#56F1|Desire; 'Desiderio' (Ripa)
#56F11|Ambition; 'Ambitione', 'Amor di Fama' (Ripa)
#56F12|Contento ~ Malcontento: the pursuit of Happiness
#56F13|(Feeling of) Attraction
#56F131|Power of Attraction
#56F2|(personifications and symbolic representations of) Love; 'Amore (secondo Seneca)' (Ripa)
#56F21|Neighbourly Love; 'Amor del Prossimo' (Ripa)
#56F211|Brotherly Love
#56F22|Reciprocal Love
#56F23|Friendship; 'Amicitia' (Ripa)
#56F231|Fidelity in Friendship; 'Confermatione dell'Amicitia', 'Fede nell'Amicitia' (Ripa)
#56F232|Infidelity in Friendship; 'Amicitia senza giovamento' (Ripa)
#56F24|Self-love; 'Amor di se stesso' (Ripa)
#56F241|Narcissism
#56F25|(personifications and symbolic representations of) Qualities of Love
#56F251|Qualities of Love: first series
#56F2511|'Riconciliatione d'amore' (Ripa)
#56F2512|'Giuditio overo inditio d'amore' (Ripa)
#56F2513|'Fermezza d'amore' (Ripa)
#56F2514|'Instabilità overo incostanza d'amore' (Ripa)
#56F2515|'Forza d'amore, Forza d'amore si nell'acqua come in terra' (Ripa)
#56F2516|'Tentatione d'amore' (Ripa)
#56F2517|'Fortuna giovevole ad amore' (Ripa)
#56F2518|'Passione d'amore' (Ripa)
#56F2519|'Allegrezza d'amore' (Ripa)
#56F252|Qualities of Love (personifications): second series
#56F2521|'Contento amoroso' (Ripa)
#56F2522|'Tormento d'amore' (Ripa)
#56F2523|'Falsita d'amore overo inganno' (Ripa)
#56FF|Desire and Aversion (opposing concepts)
#56FF1|Aversion
#56FF13|(Feeling of) Repulsion
#56FF2|Hate; 'Odio capitale' (Ripa)
#56FF21|Indifference towards Love; 'Oblivione d'amore' (Ripa)
#56FF22|Unrequited Love
#56FF23|Enmity; 'Inimicitia', 'Inimicitia mortale' (Ripa)
57|La moralidad
#57A|Good and Bad Behaviour, Moral Qualities
#57A1|Good Behaviour
#57A2|Sense of Duty, Devotion to Duty
#57A21|Duty
#57A22|Obligation; 'Obligo' (Ripa)
#57A23|Calling, Vocation, Mission
